pipeline_id,metric,point_estimate,ci_95_low,ci_95_high,n
A0_MINIMAL_PQC,effective_total_ms,1511.7226375,1470.403621,1521.2836565,6
A1_PQC_AUTH,effective_total_ms,1551.2124534999998,1491.3254245,1604.256136,6
A2_PQC_LINDBLAD,effective_total_ms,1528.275781,1516.175254,1632.995539,21
A3_HYBRID_QKD,effective_total_ms,1535.010489,1525.595734,1583.035064,39
A4_HYBRID_QKD_AUTH,effective_total_ms,1538.644744,1518.486462,1590.30888,39
A5_HYBRID_QKD_LINDBLAD,effective_total_ms,1581.8664585000001,1558.824631,1617.1121371499999,54
A6_FULL_HARDENED,effective_total_ms,1550.652963,1529.0283410000002,1576.4030315,54
A7_PQC_AUTH_NO_REPLAY,effective_total_ms,1542.855606,1517.2399435,1573.9453715,6
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,effective_total_ms,1533.9626805,1519.875866,1565.898133,54
B1_CLASSICAL,effective_total_ms,1890.224905,1830.89385,1933.582952,108
B2_MINIMAL_PQC,effective_total_ms,1841.1138664999999,1784.8006565,1935.477972,108
P1_PQC_MLDSA,effective_total_ms,1848.210039,1767.68660865,1921.385566,108
P2_PQC_MLDSA_LINDBLAD,effective_total_ms,1791.303937,1712.500275,1882.82495565,123
P3_HYBRID_QKD,effective_total_ms,1702.719438,1658.784425,1736.756996,141
P4_HYBRID_QKD_LINDBLAD,effective_total_ms,1693.043037,1637.3517075,1745.916761,156
A0_MINIMAL_PQC,security_score,0.7106703004732475,0.7106703004732475,0.7106703004732475,6
A1_PQC_AUTH,security_score,0.7096580557104524,0.7096580557104524,0.7096580557104524,6
A2_PQC_LINDBLAD,security_score,0.737806274473231,0.737806274473231,0.737806274473231,21
A3_HYBRID_QKD,security_score,0.7353701990407456,0.7353701990407456,0.7353701990407456,39
A4_HYBRID_QKD_AUTH,security_score,0.736610608407184,0.736610608407184,0.736610608407184,39
A5_HYBRID_QKD_LINDBLAD,security_score,0.7372567479448763,0.7372567479448763,0.7372567479448763,54
A6_FULL_HARDENED,security_score,0.7409950018312254,0.7409950018312254,0.7409950018312254,54
A7_PQC_AUTH_NO_REPLAY,security_score,0.6784837474953446,0.6784837474953446,0.6784837474953446,6
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,security_score,0.6996391223464257,0.6996391223464257,0.6996391223464257,54
B1_CLASSICAL,security_score,0.7359767942505343,0.7359767942505343,0.7359767942505343,108
B2_MINIMAL_PQC,security_score,0.7360365417311094,0.7360365417311094,0.7360365417311094,108
P1_PQC_MLDSA,security_score,0.6970737530133887,0.6970737530133887,0.6970737530133887,108
P2_PQC_MLDSA_LINDBLAD,security_score,0.6619992061004064,0.6619992061004064,0.6619992061004064,123
P3_HYBRID_QKD,security_score,0.7000734665461882,0.7000734665461882,0.7000734665461882,141
P4_HYBRID_QKD_LINDBLAD,security_score,0.6950157824182578,0.6950157824182578,0.6950157824182578,156
A0_MINIMAL_PQC,success_rate,1.0,1.0,1.0,6
A1_PQC_AUTH,success_rate,1.0,1.0,1.0,6
A2_PQC_LINDBLAD,success_rate,1.0,1.0,1.0,21
A3_HYBRID_QKD,success_rate,0.9487179487179487,0.8717948717948718,1.0,39
A4_HYBRID_QKD_AUTH,success_rate,0.9743589743589743,0.9230769230769231,1.0,39
A5_HYBRID_QKD_LINDBLAD,success_rate,1.0,1.0,1.0,54
A6_FULL_HARDENED,success_rate,1.0,1.0,1.0,54
A7_PQC_AUTH_NO_REPLAY,success_rate,1.0,1.0,1.0,6
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,success_rate,0.9814814814814815,0.9444444444444444,1.0,54
B1_CLASSICAL,success_rate,0.9814814814814815,0.9537037037037037,1.0,108
B2_MINIMAL_PQC,success_rate,0.9814814814814815,0.9537037037037037,1.0,108
P1_PQC_MLDSA,success_rate,0.9907407407407407,0.9629629629629629,1.0,108
P2_PQC_MLDSA_LINDBLAD,success_rate,0.983739837398374,0.959349593495935,1.0,123
P3_HYBRID_QKD,success_rate,0.9716312056737588,0.9432624113475178,0.9929078014184397,141
P4_HYBRID_QKD_LINDBLAD,success_rate,0.9551282051282052,0.9230769230769231,0.9871794871794872,156
A0_MINIMAL_PQC,throughput_bits_per_sec,3032.162525649633,684.6614041584467,5418.983996326888,6
A1_PQC_AUTH,throughput_bits_per_sec,2892.3827494005805,648.0145991619634,5321.362023254994,6
A2_PQC_LINDBLAD,throughput_bits_per_sec,5279.4245245788,4819.073554286758,5403.069320903189,21
A3_HYBRID_QKD,throughput_bits_per_sec,5256.640373950826,5016.121666241653,5349.571940538466,39
A4_HYBRID_QKD_AUTH,throughput_bits_per_sec,5306.460584345017,5108.376913202126,5390.18441903409,39
A5_HYBRID_QKD_LINDBLAD,throughput_bits_per_sec,5172.302752822152,4955.538730477228,5239.107182282123,54
A6_FULL_HARDENED,throughput_bits_per_sec,5260.109064698674,5111.5041975320855,5331.57328140706,54
A7_PQC_AUTH_NO_REPLAY,throughput_bits_per_sec,2936.971948867884,655.0433911423538,5394.249444645878,6
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,throughput_bits_per_sec,5273.432780736505,5211.974505572155,5368.43492399832,54
B1_CLASSICAL,throughput_bits_per_sec,4385.151715182197,3942.496005588225,4866.799124003249,108
B2_MINIMAL_PQC,throughput_bits_per_sec,4251.448023574734,3940.479507155658,4893.351538580496,108
P1_PQC_MLDSA,throughput_bits_per_sec,4576.020284525437,3816.8331811269004,4896.958415000923,108
P2_PQC_MLDSA_LINDBLAD,throughput_bits_per_sec,4853.4614676862975,4238.184490813543,5104.45025576081,123
P3_HYBRID_QKD,throughput_bits_per_sec,4970.588610950749,4573.6568611349385,5382.319501588016,141
P4_HYBRID_QKD_LINDBLAD,throughput_bits_per_sec,5032.532294289553,4740.550219393904,5315.090561764411,156
